rest,scr,id
8.99,B2 D2 R2 B2 L2 F2 U2 F' U2 F' D' B U L D' B U' L' U B' ,65
8.99,L2 B2 D' U2 R2 B2 U B2 D2 R U B2 L B D L' U' L U B ,66
9.01,R2 F' R2 F D2 F' D2 U2 F2 D2 R U R F' R2 U' L D' B L2 ,67
9.01,D' L2 B U2 R' U D B' R2 F' D' B2 R2 D' R2 L2 U' B2 ,68
9.01,U D2 L' F' D' B U2 R F B' L F2 D2 B2 L2 U2 B2 R L ,69
9.02,U2 D F' D2 L' B D2 R2 B U' D2 F' L2 U2 B2 L2 F U2 B2 R2 F ,70
9.02,R2 U2 R2 U2 B2 L2 R2 U B2 L2 B' U2 R' D' U2 R2 F2 D' L ,71
9.04,D2 B F2 D2 L2 D2 R2 B' U2 B2 D' B F' U F L' U' R D R2 F' ,72
9.04,B D2 F' L2 B' D2 B R2 F' U2 L R D' F U' F2 L' D F2 D2 ,73
9.05,L R F2 R U2 R' D2 B2 F U R2 U' L' B' D2 F' D2 U' B' ,74
9.06,L' D2 R U2 R' F2 R' D' B2 R' B2 F' D U L B' D' B2 ,75
9.07,B2 U2 F' D2 L2 U2 F D2 F2 D2 R' D' F2 U' B L R U' L' ,76
9.07,B2 L2 B D2 L F' R F' U F2 D2 F' L2 F2 D2 F' U2 R2 B2 D2 ,77
9.07,U2 F' R2 F' L2 B' D2 L2 D2 L U' R' D U2 B L' R F' U2 F' ,78
9.07,R2 D2 U' R2 B2 D' B2 D' R' B2 U L B R D L' U2 L2 D' ,79
9.07,F2 U2 R2 D2 R2 F L2 F' L2 B2 L2 U R D' L2 F2 U' R' D' ,80
9.09,B' D2 F2 D2 L2 B2 L2 F U2 R2 F' L B L' R2 F D' F' U2 R ,81
9.09,F2 D2 B R2 B L2 R2 D2 F' U' B U2 L' R' U R D' R' F' ,82
9.1,F' B U2 L' U2 B2 U L2 F L' U2 F2 R B2 R' F2 ,83
9.1,B' D' L2 U' B' R D L B L' D F2 B' D2 B U2 D2 R2 U2 ,84
9.1,U2 F2 U D' F2 L F R' U F R' B2 L' F2 L2 U2 B2 U2 R U2 ,85
9.11,F2 D2 R D2 L2 F2 R2 B2 F2 R2 U R B2 L F2 D' R2 B F U ,86
9.12,B2 U' R' F L U2 R' D R' F2 D2 L2 F2 U B2 D2 R2 L2 D ,87
9.14,B R' U L' B' L' U2 F R D F2 D2 F2 R2 D2 B' D2 F R2 F2 U2 ,88
9.14,B2 F2 R B2 D2 L2 R' U2 B2 D F' L' U B2 D' R2 B' R2 B' L' ,89
9.14,F2 U L2 B2 U2 R2 B2 F2 D L2 B2 L' D2 U2 B L2 F2 L' U' L2 ,90
9.14,F' U F2 B R' F' D2 R2 B' D' R2 F2 R2 U' R2 D' B2 D R2 ,91
